rmcase,type,adult,month,whtdy,wchma,nmcrb
1108,2,1,3,32,4,4
1108,2,1,4,32,4,4
1108,2,1,4,32,4,4
1108,2,1,4,32,4,4
1109,2,1,3,32,7,2
1110,2,1,3,32,4,5
1111,2,1,3,32,4,5
1111,2,1,3,32,4,5
1111,2,1,3,32,4,5
1111,2,1,4,32,4,5
1111,2,1,4,32,4,5
1112,2,1,3,32,4,5
1113,2,1,2,32,7,4
1113,2,1,2,32,7,4
1113,2,1,2,32,7,4
1113,2,1,2,32,7,4
1114,2,1,2,32,15,4
1115,2,1,3,32,4,5
1116,2,1,2,32,10,4
1117,2,1,2,32,13,2
1117,2,1,3,32,13,3
1118,2,1,2,32,15,3
1119,2,1,2,32,6,2
1119,2,1,3,32,7,2
1120,2,1,3,32,4,5
1120,2,1,3,32,4,5
1120,2,1,3,32,4,5
1120,2,1,4,32,4,5
1121,2,1,2,32,4,3
1121,2,1,3,32,4,3
1121,2,1,3,32,4,3
1121,2,1,3,32,4,3
1121,2,1,3,32,4,5
1121,2,1,4,1,4,5
1122,2,1,3,32,4,5
1123,2,1,2,32,6,2
1123,2,1,3,32,4,4
1124,2,1,3,32,7,3
1124,2,1,3,32,7,3
1125,2,1,4,32,8,2
1125,2,1,4,32,8,3
1126,2,1,2,32,5,2
1127,2,1,6,32,5,3
1128,2,1,6,32,4,5
1129,2,1,2,32,15,6
1130,2,1,3,32,6,10
1131,2,1,3,32,6,4
1131,2,1,4,32,6,5
1132,2,1,2,32,4,5
1133,2,1,3,32,4,1
1134,2,1,2,32,4,2
1134,2,1,3,32,4,5
1134,2,1,3,32,4,5
1134,2,1,3,32,4,5
1135,2,1,3,32,8,1
1135,2,1,3,32,8,2
1136,2,1,2,31,5,2
1137,2,1,2,21,4,5
1137,2,1,2,22,4,5
1137,2,1,3,31,4,4
1138,2,1,2,31,10,5
1138,2,1,3,11,10,3
1138,2,1,3,12,10,3
1138,2,1,3,13,10,2
1139,2,1,2,31,4,4
1139,2,1,4,14,4,4
1140,2,1,2,31,9,2
1141,2,1,2,31,9,4
1142,2,1,2,30,4,5
1143,2,1,2,30,10,3
1144,2,1,2,7,6,5
1144,2,1,2,30,6,4
